,x11RSHO,x11RELB,x11RWRA,x12RSHO,x12RELB,x12RWRA,x13RSHO,x13RELB,x13RWRA,x15RSHO,x15RELB,x15RWRA,x16RSHO,x16RELB,x16RWRA,x21RSHO,x21RELB,x21RWRA,x22RSHO,x22RELB,x22RWRA,x23RSHO,x23RELB,x23RWRA,x25RSHO,x25RELB,x25RWRA,x26RSHO,x26RELB,x26RWRA,x31RSHO,x31RELB,x31RWRA,x32RSHO,x32RELB,x32RWRA,x33RSHO,x33RELB,x33RWRA,x35RSHO,x35RELB,x35RWRA,x36RSHO,x36RELB,x36RWRA,x41RSHO,x41RELB,x41RWRA,x42RSHO,x42RELB,x42RWRA,x43RSHO,x43RELB,x43RWRA,x45RSHO,x45RELB,x45RWRA,x46RSHO,x46RELB,x46RWRA,x51RSHO,x51RELB,x51RWRA,x52RSHO,x52RELB,x52RWRA,x53RSHO,x53RELB,x53RWRA,x55RSHO,x55RELB,x55RWRA,x56RSHO,x56RELB,x56RWRA,x61RSHO,x61RELB,x61RWRA,x62RSHO,x62RELB,x62RWRA,x63RSHO,x63RELB,x63RWRA,x65RSHO,x65RELB,x65RWRA,x66RSHO,x66RELB,x66RWRA
x11RSHO,1.0,0.9998577204236415,0.9983350723785805,0.9943833196088961,0.9994464043113509,0.9996301725762969,0.9945855148960997,0.9967894073049933,0.9992798057727817,0.9978334019684376,0.9965004634065358,0.999750643812317,0.9969737009163474,0.999443458189943,0.9964970799130609,0.9997328209844505,0.9998132673152064,0.9985217400481003,0.996115554410395,0.9999104943793482,0.9986275685098246,0.993245432629776,0.9978115061740646,0.9987868020863464,0.9978209270556648,0.9995074452137528,0.9998025768608427,0.9984308758409053,0.999773499012496,0.9975950384765101,0.9997599116425193,0.9999330491389871,0.9971734452955148,0.9976674444479643,0.9996263286623118,0.9994178200294704,0.9987593679964727,0.9930672318477191,0.999743535998496,0.9895936734348525,0.9991490204487664,0.9984037643583465,0.9994233182879928,0.9998817794917557,0.9975450831681156,0.9998963720064007,0.9998577897262675,0.996577339090051,0.9996372000957663,0.9996339736998943,0.9992735660436445,0.9972371198784948,0.9932393022509796,0.9994648705987701,0.9978863102631514,0.9990603081589235,0.9997165332638612,0.9997300630651003,0.9995946934896262,0.9969561621645012,0.9967005317416355,0.9998703746650566,0.997735463023526,0.9995920343833377,0.999698698155979,0.9990300392717505,0.9591315129558592,0.9973594143660274,0.9998656770722335,0.9975590536364113,0.9994331131678761,0.9994537820221874,0.9984730441996098,0.999909854789892,0.9983249249178404,0.9998027701932938,0.9995433845460276,0.9987752861908193,0.9995522284027716,0.99875985962399,0.9994627322362627,0.997678735410715,0.9963982049897577,0.9990945342241389,0.9967327291777922,0.999850086592906,0.9992674845619511,0.9998441841300153,0.9992303620134975,0.9980406028739212
x11RELB,0.9998577204236415,1.0,0.9991181667101302,0.9915578095269212,0.9981226651862906,0.9998865683106282,0.9918792670422357,0.9949794747983091,0.99984431988273,0.9955634013943849,0.9938200811400856,0.9998559646924298,0.9976965928836109,0.9997234473852737,0.9973224227474234,0.9993071829933361,0.9999435259127892,0.9992223057225751,0.9940912225664644,0.9995850565357663,0.9995288636215462,0.9907331719837723,0.9959640090383274,0.9995469353060659,0.9942473776605026,0.99804668084368,0.9996957366085573,0.9971470062098433,0.9995712046082473,0.9984281409942782,0.9993442938629161,0.999902893920068,0.9981140255013825,0.9958868703435035,0.9987707281838518,0.9999088643311261,0.9977089111063007,0.9900823185420783,0.9998353570222056,0.9826858242248111,0.9974633749897049,0.9990676870589843,0.9996669088628614,0.999680383145311,0.9982735680597157,0.9995038292450324,0.9995249039090416,0.9977366897016924,0.9992585850461934,0.9986050894834982,0.9998630610939271,0.9951776249715996,0.9903614848750764,0.9998206660820788,0.9942815235108263,0.9973012345122481,0.9998506285422751,0.999849379487532,0.9998700556045523,0.9978444936739684,0.9953699277602276,0.9994319834679041,0.9981830554546675,0.9985848975431668,0.9990420834119329,0.9997165754141139,0.9472284982460593,0.9951946245241778,0.999779254608673,0.9942994300479958,0.9978456522981263,0.9998058531978193,0.9975113062780766,0.999923875614134,0.99884429796859,0.9998280224124803,0.9998486831556557,0.9993939811607254,0.9998292974596197,0.9971741749959098,0.9998713001742551,0.9959146973145818,0.994481687744161,0.9997615692643501,0.9936054553103685,0.9991949543864977,0.9998661508380189,0.999936913780477,0.999734641918238,0.9988075433461797
x11RWRA,0.9983350723785805,0.9991181667101302,1.0,0.9883550284824449,0.996097270799033,0.9993482699365803,0.9890902093270685,0.992096832244947,0.9997627098101451,0.993261575963831,0.9909108251395076,0.9991654519644318,0.9986660424080668,0.999377561638832,0.9993916226129936,0.9969685274761594,0.999054597368813,0.9999789795997763,0.991297391929722,0.9986220609966441,0.9998698383354663,0.9874670164193805,0.9933161710916389,0.9997790386586121,0.9936646539650466,0.9969297636648031,0.9990751802689426,0.9940563310286633,0.9975275797978643,0.9998095797366108,0.9975937684847134,0.9986655793272182,0.9997159602073341,0.9935479656409536,0.996971320140734,0.9997230245254343,0.99664990044824,0.9865344502102161,0.9992451760167357,0.9824969409706722,0.996009035115222,0.9996573444687762,0.9994452797670382,0.997793828868046,0.9997146614890215,0.9978543856123423,0.9977001803683924,0.9995895245801019,0.9989008691038007,0.9971034085406707,0.9997566175591399,0.9925469488011663,0.9863201221683331,0.9995601943746576,0.9932153747477124,0.9961955398085054,0.9995151354070705,0.9987887822361303,0.9995391287377103,0.9995877623597638,0.9918387570077345,0.9974879648155459,0.9996690480371068,0.9968320263502147,0.997722233124684,0.9998062586491862,0.9469502634006569,0.9929584147624682,0.9988745033259826,0.9927794739810513,0.9966957831449907,0.9997475111180774,0.9942587572467865,0.9988824210876834,0.9998961251508045,0.9989861811333663,0.9995969855324995,0.9999447206697742,0.9994331226720873,0.9946282612042529,0.9996337464426749,0.9932950122014387,0.9916380887402335,0.9997439409605983,0.9910988635683866,0.9985034273673736,0.9997182009037126,0.9989948011702251,0.999583632256508,0.9999475034844901
x12RSHO,0.9943833196088961,0.9915578095269212,0.9883550284824449,1.0,0.9965988113105522,0.9932994668181715,0.9992284568364347,0.9990700102977178,0.9897277866234958,0.9986905894106772,0.9994513196739189,0.9918537908147065,0.9960999643068403,0.9915504228103336,0.9912836605702012,0.9932876917252746,0.9914456438710599,0.9899981716964834,0.9993567080625826,0.9936548954722808,0.9906661871411795,0.9991368939819172,0.9982887674580748,0.9908297474091418,0.9982619798718272,0.9964087691594715,0.9937629655672197,0.997841708015146,0.9931243473010373,0.9855679572296026,0.9963095247722641,0.9925687861092335,0.9920472121581634,0.9991512791372213,0.9949487124126907,0.9909508596804333,0.9958022260512648,0.9995372084983775,0.9926341589902602,0.9978400779690058,0.9973148994968191,0.9881357684534003,0.9958060688116114,0.991355418656036,0.988420783606844,0.9944388111075888,0.9934607209126858,0.9865761427169097,0.9932492884675563,0.9967747390032781,0.989986791486438,0.9986595215313232,0.9992556080650727,0.9912042314016631,0.9985245964830193,0.9964877666421261,0.9925884618349725,0.9903112407961984,0.9922629025815833,0.9868267785391234,0.9928464771379254,0.9954655814111714,0.9911887413375727,0.997165947118358,0.996862388240075,0.9907124532758175,0.9764818319227226,0.9991671595845583,0.9932315210388156,0.9984387081743574,0.9964179213995443,0.9906557115703203,0.9936112857266185,0.9926098415884771,0.991211354733412,0.9951520719065166,0.9886128284016825,0.9854225591108684,0.9906390154170044,0.9977989880808369,0.991991923415119,0.9992990878370099,0.9994468934778763,0.9911452514173356,0.9992677009952688,0.9947020514071503,0.9909847170317251,0.9905172849760666,0.9903411077156131,0.9887988802298647
x12RELB,0.9994464043113509,0.9981226651862906,0.996097270799033,0.9965988113105522,1.0,0.9988498312469025,0.9964957669146044,0.998446095145942,0.9976805898501034,0.9987435789087016,0.9978346698440601,0.9988404503426067,0.9990279368007899,0.9980546634839941,0.9977851862153779,0.9993593118224552,0.9987076146986741,0.9971540032280809,0.9981005012055522,0.9992264462613749,0.9968231186963006,0.9955531914563915,0.9988824748666737,0.9979519264892407,0.9987770574472229,0.9998691899527056,0.999032662992537,0.9995972518787534,0.9986887302774776,0.9953371728522443,0.9991369231485407,0.9989781073247495,0.9983317235182055,0.9989236710085043,0.9997543723556878,0.9979809871951374,0.9995056697714566,0.9949228126492929,0.9986031793623281,0.9928345798421853,0.9997291857062987,0.9964919632936745,0.9992670769626105,0.9988182743269997,0.9954656086295609,0.999444578716008,0.9989978894861755,0.9957505901903422,0.999081261527328,0.9998018054462158,0.9978383366058253,0.9981430454680364,0.9947618066028642,0.997933542255337,0.9988466760587504,0.9996150360120751,0.998750684005526,0.9976478141171229,0.9983697667843744,0.9955413895348575,0.9994352082175957,0.9996647949248781,0.9981838166823229,0.9997692081178975,0.9993877705279101,0.9975483295054592,0.9648758564270119,0.9986205295425982,0.9989894601634761,0.9982957172902551,0.9998345703256799,0.9981599246376408,0.9993826289636466,0.998999958437582,0.9978099341172383,0.9994764373352907,0.9969357376447993,0.995988658318365,0.9977704430096412,0.9996991483372764,0.9983245393956577,0.9989363360750309,0.998247660819194,0.9980103260124815,0.9980603930486976,0.9993546740555332,0.9976110046597763,0.9985705360764816,0.9984002090419422,0.9967470169912058
x12RWRA,0.9996301725762969,0.9998865683106282,0.9993482699365803,0.9932994668181715,0.9988498312469025,1.0,0.9935674297632595,0.9962774196499329,0.9997561176365363,0.9963776321358414,0.9948168214948896,0.9998488314967594,0.9997340695427858,0.9998447562300059,0.9995920498849256,0.9994391392848083,0.9999066864765905,0.9996643082572203,0.9956326149783534,0.999787556515565,0.9994462973401181,0.9926265029414062,0.9970737446740983,0.9997385885178969,0.9960833393568208,0.998731196143494,0.9997421671811781,0.9964129902896746,0.9998909060332613,0.9990349602695254,0.9995000205259819,0.9997911142410163,0.9999174089611862,0.9970842159314985,0.9992682129822911,0.9998538360596919,0.9986420975817831,0.9914327805363018,0.9998540483485503,0.984872641502055,0.9982006731754842,0.9985481619331376,0.9996567602415818,0.9996679800473388,0.9989732759950896,0.9996140030256444,0.9997776592988387,0.9988549423004649,0.9994630506818232,0.9992547702615073,0.9998241541752739,0.9959584650865042,0.9912790382025012,0.9997265219120736,0.9958451359415045,0.9980929355620626,0.9997989091173344,0.999771307516983,0.9998255343195165,0.9989161670954354,0.9985849195019819,0.9992039418620735,0.99987545825702,0.9992465992515005,0.9994852679214905,0.9997073148591362,0.9507878238630761,0.9964008655143773,0.9998734227130802,0.9958489519087157,0.9985949230347585,0.9995570852328354,0.9989051891767736,0.9997785293859462,0.999832098800487,0.9995144424290399,0.9995905012205888,0.9992777097205144,0.9997055809675276,0.9980898413734328,0.9999021094078174,0.9971527388435563,0.9958829694388315,0.9997755483846114,0.9948157702654996,0.9994580764838331,0.999652194067294,0.9995783378893375,0.999756593134641,0.9994289549870944
x13RSHO,0.9945855148960997,0.9918792670422357,0.9890902093270685,0.9992284568364347,0.9964957669146044,0.9935674297632595,1.0,0.998717566788659,0.9901094225742063,0.99970843937788,0.999859475282529,0.9921146530876853,0.9961514399402139,0.9919244512053558,0.9916554513134067,0.9935129418162771,0.9916568912866072,0.9904606689490224,0.9993592819459058,0.9939153675829244,0.9913706236539789,0.9995851349121214,0.9979332630718348,0.9910972550772255,0.9994156816831579,0.9977042860763695,0.9938533616110522,0.9977416179362972,0.9934519287518909,0.9862051142507314,0.9961157889742335,0.9930950343856367,0.9923709741139889,0.9988417983512382,0.9948742800097987,0.9912701004293998,0.9960292307974479,0.9994405310362573,0.9927751136679903,0.9971450526150697,0.9978914680480632,0.9887557891985197,0.9959692851393224,0.9917180661791879,0.9892216676748941,0.9944109421957711,0.9937663359675843,0.9873993043679088,0.9937061692792598,0.9967571682035581,0.9902732761587758,0.9996596906902055,0.998943481732605,0.991578500670152,0.9996445865862162,0.9975003908464951,0.9929769517848774,0.9904005273865922,0.9924837253560145,0.9874770337147173,0.9929304412565827,0.9956679975619035,0.9914668801192903,0.9973433785520099,0.9969347164065461,0.991123380389414,0.9750078276322309,0.9993812311895848,0.9934353386378526,0.9991298559727702,0.9974310852295957,0.9910752896689329,0.9939547849190707,0.9929940587040358,0.9914842254858249,0.9951734244144996,0.989221188811477,0.9858917643557404,0.9904832992916812,0.9980500062637986,0.992370706042578,0.9992371713696284,0.9992754312066163,0.9916238769554286,0.9998639915334206,0.9949453699762597,0.9914978472249564,0.9908138152970801,0.9904718713653006,0.9891152358610147
x13RELB,0.9967894073049933,0.9949794747983091,0.992096832244947,0.9990700102977178,0.998446095145942,0.9962774196499329,0.998717566788659,1.0,0.9938403821092762,0.9997384716483546,0.9994763090339978,0.9953705549643137,0.9978285005267323,0.9946680515246965,0.9941385344698632,0.996497868938394,0.9954575951548741,0.9932646262317351,0.9996222946782208,0.9962589808516589,0.9933016407711729,0.998483643546506,0.9995419291408344,0.9943957146024771,0.9991243098109525,0.9984934659427034,0.9957621292559347,0.9993667500589201,0.9956367926082115,0.9899261099453884,0.9975243408144955,0.995628197479916,0.9951617828271032,0.9997364912000776,0.9980879245193894,0.9943408782015423,0.998176944922811,0.9985239714168022,0.995338698636653,0.993465953723277,0.9989564871557141,0.9909276140412278,0.9971484266451625,0.9948748380043819,0.9918202405819638,0.9970504094945105,0.996340640580476,0.9905193066858688,0.9965509176002861,0.998082920045818,0.9939244439766524,0.99964207828039,0.9986264368258649,0.9940773725101756,0.999290425509091,0.9981799633196082,0.995159812889498,0.9937393857246942,0.9948536296802686,0.9903061831307517,0.9961944827056753,0.9976246285151261,0.9943737811006823,0.998657785046973,0.9979537631044202,0.9937558016986392,0.9654971434752516,0.9996533389675212,0.9959740729218197,0.9993618056519139,0.9983382931457845,0.993967299150213,0.9963924023490706,0.9958179554984273,0.9945798594121849,0.9971575460876079,0.9924462089283765,0.9908155688528958,0.9944074420897945,0.9994090044659991,0.9950017031724934,0.9995138071456534,0.9998726530354364,0.9945594314267212,0.9991917254954616,0.9966880924063249,0.9940148870486756,0.9945611722197226,0.99414031038692,0.9924796165222028
x13RWRA,0.9992798057727817,0.99984431988273,0.9997627098101451,0.9897277866234958,0.9976805898501034,0.9997561176365363,0.9901094225742063,0.9938403821092762,1.0,0.9944254506603841,0.992320282482942,0.9996708734818011,0.9993471446911104,0.9999325510809643,0.9997373973363042,0.9991260319680454,0.9998478029701872,0.9999099923491904,0.99283639797322,0.9994588997972842,0.9997605294872239,0.9885929612402444,0.9951376208335073,0.9998136013517015,0.9952664665148968,0.9977624699653218,0.9994105993595966,0.9953052864755021,0.9997477100659463,0.9996793802641311,0.9989533056776736,0.9996168497617629,0.9998943086747533,0.9945555040521998,0.9983640929204073,0.9999287295558318,0.9976701942707003,0.9876806188115271,0.9997694742914364,0.9865921457254804,0.9969175415821356,0.9993923928724513,0.9993059473597519,0.9995468517154156,0.9994972716432936,0.9992602750164814,0.9994497756018268,0.9992713442590231,0.9993207450680635,0.9982673301772027,0.9999043934354103,0.9936299763302444,0.9876641960341745,0.9998662864908221,0.9947703186970721,0.9971866196496946,0.9997183767082011,0.9998674742117887,0.9997599726141924,0.9995125361652722,0.9978567580573144,0.9986236472435764,0.9998924759250775,0.998061806803618,0.998697977865411,0.9998390821532727,0.9557804296255085,0.9937542934402497,0.9995528999040366,0.993955065916839,0.997495561545178,0.9998236129091783,0.9981849409016587,0.9994990425018467,0.9998864434543061,0.9991567933138785,0.9999079207872134,0.9997494512606548,0.9997539411297418,0.9964963777368859,0.9999022828459118,0.9948378701437265,0.9931812636609477,0.9998806903158979,0.9925910107724808,0.9989586487503003,0.9998593786955245,0.9994677529493075,0.9998132944302548,0.999729402941339
x15RSHO,0.9978334019684376,0.9955634013943849,0.993261575963831,0.9986905894106772,0.9987435789087016,0.9963776321358414,0.99970843937788,0.9997384716483546,0.9944254506603841,1.0,0.9996474250097063,0.9959851752870655,0.9988098825145167,0.995954312135159,0.9960659170614098,0.9965735071835199,0.9954598656603129,0.9949372186344688,0.999385987619738,0.99724663152633,0.9961182417858848,0.9991636275901421,0.9997455793900923,0.9951644609508263,0.9996014613119256,0.9988326999557564,0.9972577747739954,0.9992517848302797,0.9971148168267839,0.9923249082120628,0.9992365025542068,0.9963824933200646,0.9963456529487723,0.9996854959395998,0.9976654368530877,0.9954652362111618,0.9975056081166912,0.998829135139267,0.996704939710162,0.995897208096686,0.9994179175982754,0.9948781498120383,0.9987643784996509,0.9954738782267302,0.9933655691845379,0.9979104601476195,0.9965628948879436,0.9922293843370366,0.9974522818782783,0.9991074598622279,0.994252755759154,0.9998532231268952,0.9985925167368959,0.9957117201801129,0.9996210534080309,0.9990094660527894,0.9967429399354666,0.9947528772951902,0.9961175411993111,0.9938150450269954,0.9964578578475746,0.9981934052962641,0.9955542484183143,0.9991741402608634,0.9990110041060435,0.9957575737384199,0.9703627992774045,0.9997702651416349,0.9965019788505525,0.9992780796701689,0.9988706332858145,0.9959837072560488,0.9966430314501913,0.9961099375354688,0.994758345337243,0.9980537393265323,0.993912704113398,0.9906451149701339,0.9960238333465254,0.9991955574773189,0.9960954439067256,0.9995654504184024,0.9997510510583926,0.9953602186813698,0.9996123509203392,0.9985200513462379,0.9953908209061392,0.9942767740088242,0.9955177775308708,0.9945112914684356
